1,2,3,4,5,6,7,8,9,10,11,12
2M: 2MI_1_Cec,2M: 1MI_2_Cec,2M: VI_2_Cec,2M: 2MU_2_Cec,,,,,,,,
2M: 2MI_2_Cec,2M: 1MI_3_Cec,2M: VI_3_Cec,2M: 2MU_3_Cec,,,,,,,,
2M: 2MI_3_Cec,2M: 1MI_4_Cec,2M: VI_4_Cec,2M: 1MU_1_Cec,,,,,,,,
2M: 2MI_4_Cec,2M: 1MI_5_Cec,2M: VI_5_Cec,2M: 1MU_2_Cec,,,,,,,,
2M: 2MI_5_Cec,2M: 1MI_6_Cec,2M: VI_6_Cec,2M: 1MU_3_Cec,,,,,,,,
2M: 2MI_6_Cec,2M: 1MI_7_Cec,2M: VI_7_Cec,2M: VU_1_Cec,,,,,,,,
2M: 2MI_7_Cec,2M: 1MI_8_Cec,2M: VI_8_Cec,2M: VU_2_Cec,,,,,,,,
2M: 1MI_1_Cec,2M: VI_1_Cec,2M: 2MU_1_Cec,2M: VU_3_Cec,,,,,,,,
