1,2,3,4,5,6,7,8,9,10,11,12
2M: 2MI_1_Def,2M: 1MI_2_Def,2M: VI_2_Def,2M: 2MU_2_Def,2M: 2MI_1_Dipt,2M: 1MI_2_Dipt,2M: VI_2_Dipt,2M: 2MU_2_Dipt,,,,
2M: 2MI_2_Def,2M: 1MI_3_Def,2M: VI_3_Def,2M: 2MU_3_Def,2M: 2MI_2_Dipt,2M: 1MI_3_Dipt,2M: VI_3_Dipt,2M: 2MU_3_Dipt,,,,
2M: 2MI_3_Def,2M: 1MI_4_Def,2M: VI_4_Def,2M: 1MU_1_Def,2M: 2MI_3_Dipt,2M: 1MI_4_Dipt,2M: VI_4_Dipt,2M: 1MU_1_Dipt,,,,
2M: 2MI_4_Def,2M: 1MI_5_Def,2M: VI_5_Def,2M: 1MU_2_Def,2M: 2MI_4_Dipt,2M: 1MI_5_Dipt,2M: VI_5_Dipt,2M: 1MU_2_Dipt,,,,
2M: 2MI_5_Def,2M: 1MI_6_Def,2M: VI_6_Def,2M: 1MU_3_Def,2M: 2MI_5_Dipt,2M: 1MI_6_Dipt,2M: VI_6_Dipt,2M: 1MU_3_Dipt,,,,
2M: 2MI_6_Def,2M: 1MI_7_Def,2M: VI_7_Def,2M: VU_1_Def,2M: 2MI_6_Dipt,2M: 1MI_7_Dipt,2M: VI_7_Dipt,2M: VU_1_Dipt,,,,
2M: 2MI_7_Def,2M: 1MI_8_Def,2M: VI_8_Def,2M: VU_2_Def,2M: 2MI_7_Dipt,2M: 1MI_8_Dipt,2M: VI_8_Dipt,2M: VU_2_Dipt,,,,
2M: 1MI_1_Def,2M: VI_1_Def,2M: 2MU_1_Def,2M: VU_3_Def,2M: 1MI_1_Dipt,2M: VI_1_Dipt,2M: 2MU_1_Dipt,2M: VU_3_Dipt,,,,
