1,2,3,4,5,6,7,8,9,10,11,12
2M: 2MI_1_RpL,2M: 1MI_2_RpL,2M: VI_2_RpL,2M: 2MU_2_RpL,2M: 2MI_1_Att,2M: 1MI_2_Att,2M: VI_2_Att,2M: 2MU_2_Att,,,,
2M: 2MI_2_RpL,2M: 1MI_3_RpL,2M: VI_3_RpL,2M: 2MU_3_RpL,2M: 2MI_2_Att,2M: 1MI_3_Att,2M: VI_3_Att,2M: 2MU_3_Att,,,,
2M: 2MI_3_RpL,2M: 1MI_4_RpL,2M: VI_4_RpL,2M: 1MU_1_RpL,2M: 2MI_3_Att,2M: 1MI_4_Att,2M: VI_4_Att,2M: 1MU_1_Att,,,,
2M: 2MI_4_RpL,2M: 1MI_5_RpL,2M: VI_5_RpL,2M: 1MU_2_RpL,2M: 2MI_4_Att,2M: 1MI_5_Att,2M: VI_5_Att,2M: 1MU_2_Att,,,,
2M: 2MI_5_RpL,2M: 1MI_6_RpL,2M: VI_6_RpL,2M: 1MU_3_RpL,2M: 2MI_5_Att,2M: 1MI_6_Att,2M: VI_6_Att,2M: 1MU_3_Att,,,,
2M: 2MI_6_RpL,2M: 1MI_7_RpL,2M: VI_7_RpL,2M: VU_1_RpL,2M: 2MI_6_Att,2M: 1MI_7_Att,2M: VI_7_Att,2M: VU_1_Att,,,,
2M: 2MI_7_RpL,2M: 1MI_8_RpL,2M: VI_8_RpL,2M: VU_2_RpL,2M: 2MI_7_Att,2M: 1MI_8_Att,2M: VI_8_Att,2M: VU_2_Att,,,,
2M: 1MI_1_RpL,2M: VI_1_RpL,2M: 2MU_1_RpL,2M: VU_3_RpL,2M: 1MI_1_Att,2M: VI_1_Att,2M: 2MU_1_Att,2M: VU_3_Att,,,,
