1,2,3,4,5,6,7,8,9,10,11,12
14M_I_1_Actin,14M_S_1_Actin,14V_I_1_Actin,8V_I_3_Actin,4V_I_4_Actin,14M_S_2_Actin,8M_S_2_Actin,4M_S_3_Actin,,,,
14M_I_2_Actin,14V_S_1_Actin,14V_I_2_Actin,8V_I_4_Actin,4M_I_2_Actin,14M_S_3_Actin,8M_S_3_Actin,4M_S_4_Actin,,,,
8M_I_1_Actin,4M_S_1_Actin,14V_I_3_Actin,8V_I_5_Actin,4M_I_3_Actin,14M_S_4_Actin,8M_S_4_Actin,,,,,
8M_I_2_Actin,4M_S_2_Actin,14V_I_4_Actin,8M_I_3_Actin,4M_I_4_Actin,14M_S_5_Actin,8M_S_5_Actin,,,,,
4M_I_1_Actin,14V_S_2_Actin,14V_I_5_Actin,8M_I_4_Actin,4M_I_5_Actin,8V_S_1_Actin,4V_S_1_Actin,,,,,
8V_I_1_Actin,8V_S_2_Actin,14M_I_3_Actin,8M_I_5_Actin,14V_S_3_Actin,8V_S_4_Actin,4V_S_4_Actin,,,,,
8V_I_2_Actin,8V_S_3_Actin,14M_I_4_Actin,4V_I_2_Actin,14V_S_4_Actin,8V_S_5_Actin,4V_S_3_Actin,,,,,
4V_I_1_Actin,4V_S_2_Actin,14M_I_5_Actin,4V_I_3_Actin,14V_S_5_Actin,8M_S_1_Actin,4V_S_5_Actin,,,,,
